1 -nan -nan -nan
1 -nan -nan -nan
1 -nan -nan -nan
1 -nan -nan -nan
1 -nan -nan -nan
1 -nan -nan -nan
1 -nan -nan -nan
1 -nan -nan -nan
1 -nan -nan -nan
1 -nan -nan -nan
2 63856.000000 536218.000000 10188.000000
2 68718.000000 498476.000000 9662.000000
2 60774.000000 449395.000000 9363.000000
2 60706.000000 443762.000000 8458.000000
2 64908.000000 473318.000000 8482.000000
2 58062.000000 451138.000000 9392.000000
2 65754.000000 456688.000000 9690.000000
2 58019.000000 426903.000000 9330.000000
2 57718.000000 448120.000000 8060.000000
2 58180.000000 472101.000000 9606.000000
4 49766.000000 218140.000000 4331.666667
4 1117053.333333 465318.666667 4449.000000
4 45906.666667 191590.000000 4314.000000
4 91706.333333 171577.000000 4202.666667
4 45019.333333 187484.000000 3985.333333
4 50193.666667 205451.000000 4047.333333
4 44280.333333 193632.666667 3690.000000
4 55802.666667 191299.000000 4502.000000
4 50807.333333 200910.333333 3870.000000
4 46709.666667 203503.333333 3944.666667
8 287356.428571 227909.571429 3071.142857
8 91968.714286 109835.285714 3419.285714
8 253486.857143 185328.000000 3201.428571
8 72926.285714 112015.428571 3228.857143
8 256432.428571 178219.571429 7069.571429
8 67765.285714 114316.142857 2959.428571
8 74313.428571 127418.000000 3354.857143
8 257410.571429 201896.428571 3150.428571
8 282257.000000 179675.142857 3225.428571
8 271875.428571 176993.285714 3402.857143
16 173849.600000 137847.466667 3018.000000
16 167940.466667 132715.533333 3227.133333
16 253796.333333 142825.333333 2861.466667
16 241825.333333 156423.200000 2893.333333
16 167865.466667 116386.800000 2971.533333
16 161890.133333 111613.000000 2832.400000
16 236302.333333 156658.466667 2656.466667
16 81082.466667 81256.066667 2592.200000
16 180536.133333 136398.000000 2590.333333
16 242815.733333 142528.600000 2537.666667
24 224868.086957 154956.217391 3063.869565
24 164993.869565 135394.652174 2906.347826
24 536860.608696 136432.521739 2812.043478
24 214528.478261 138683.217391 2809.130435
24 207846.347826 136258.695652 2910.869565
24 173442.521739 124645.913043 2835.173913
24 162653.695652 118600.608696 2669.434783
24 160752.173913 119533.000000 2650.826087
24 165108.043478 118132.304348 2744.869565
24 205227.956522 138830.478261 2725.304348
36 189893.171429 1824459.771429 2700.771429
36 191963.428571 2326795.628571 2754.400000
36 216118.028571 314326.028571 3782.828571
36 201994.200000 187970.371429 3811.885714
36 181404.114286 222843.885714 3908.914286
36 367284.428571 227834.600000 3816.057143
36 181522.257143 359166.885714 3832.114286
36 189006.857143 327161.400000 2626.200000
36 376064.114286 345182.171429 3793.142857
36 215096.942857 269832.971429 4153.571429
48 537954.255319 156814.851064 4970.787234
48 237398.851064 157618.957447 3220.382979
48 280646.361702 158492.361702 3298.000000
48 336811.425532 160518.957447 3589.787234
48 378333.468085 149982.872340 3203.446809
48 286046.170213 152862.255319 3108.659574
48 1853594.531915 156797.191489 3267.659574
48 333232.680851 157441.000000 3173.255319
48 812648.680851 154508.978723 3397.702128
48 357359.893617 182979.489362 3458.276596
64 644152.650794 169745.333333 3360.539683
64 375920.984127 164601.333333 3508.539683
64 415866.984127 197981.619048 3744.238095
64 295407.682540 149346.428571 3560.349206
64 369896.936508 164245.063492 3666.142857
64 421982.761905 154735.253968 3561.936508
64 341606.079365 169495.587302 4004.682540
64 300324.904762 170990.619048 3630.714286
64 287265.000000 168273.285714 3705.460317
64 335486.365079 160839.777778 3603.396825
72 600113.549296 1980711.408451 3634.535211
72 493804.873239 634820.267606 3441.873239
72 2147263.521127 434303.338028 3157.873239
72 440422.661972 330367.647887 3719.492958
72 1131591.718310 1674035.830986 3950.042254
72 461067.014085 1853558.281690 4528.239437
72 951389.394366 4055429.267606 3366.394366
72 371119.422535 2615114.239437 3629.704225
72 1795533.014085 544514.478873 3650.985915
72 1103864.901408 1190639.154930 3007.971831
