1 -nan -nan -nan
1 -nan -nan -nan
1 -nan -nan -nan
1 -nan -nan -nan
1 -nan -nan -nan
1 -nan -nan -nan
1 -nan -nan -nan
1 -nan -nan -nan
1 -nan -nan -nan
1 -nan -nan -nan
2 68793.000000 147112.000000 35443.000000
2 74746.000000 95498.000000 36994.000000
2 66294.000000 140126.000000 40560.000000
2 66892.000000 119512.000000 36046.000000
2 71597.000000 90043.000000 36545.000000
2 67720.000000 133130.000000 34068.000000
2 66834.000000 146638.000000 33522.000000
2 72478.000000 98156.000000 64137.000000
2 137094.000000 83613.000000 34266.000000
2 67466.000000 133828.000000 33034.000000
4 103325.666667 136096.000000 32009.333333
4 107488.333333 19092.000000 42432.666667
4 102390.666667 17949.666667 40698.333333
4 94657.000000 24587.333333 61838.333333
4 106663.000000 31966.000000 32843.000000
4 49987.333333 39255.000000 30287.333333
4 84933.333333 146747.000000 29881.333333
4 588920.666667 25670.000000 32750.666667
4 106594.000000 17812.333333 47555.666667
4 52659.666667 30406.666667 24576.666667
8 106974.571429 5720.285714 40205.571429
8 336955.428571 6211.428571 42869.285714
8 295793.714286 5647.000000 42063.142857
8 163605.285714 4969.857143 37946.571429
8 278552.285714 5994.857143 41186.000000
8 159608.142857 5998.857143 35385.142857
8 130619.571429 5658.000000 44426.571429
8 125031.714286 5749.857143 35570.000000
8 147005.571429 5869.571429 34964.285714
8 127723.000000 7435.571429 35257.285714
16 294182.866667 5107.000000 26781.533333
16 351711.666667 5037.200000 31047.066667
16 214957.800000 5146.800000 30153.866667
16 175382.000000 4818.266667 29097.000000
16 283296.200000 4558.333333 38467.000000
16 123863.800000 5581.466667 28805.266667
16 130783.666667 6293.333333 32654.866667
16 290600.133333 4963.066667 25353.200000
16 331000.733333 5016.266667 30407.866667
16 209322.000000 4534.000000 28714.066667
24 232895.608696 4853.956522 36048.304348
24 284437.043478 4565.434783 33738.086957
24 274416.173913 4579.217391 33311.869565
24 277174.826087 4509.304348 33663.130435
24 272767.869565 4466.260870 32525.173913
24 325668.826087 4358.347826 29884.521739
24 250180.565217 4486.521739 33042.521739
24 210171.826087 4672.521739 34475.869565
24 215026.391304 4487.347826 36813.521739
24 194015.391304 4782.782609 34007.652174
36 261194.314286 4769.571429 36123.257143
36 275214.485714 6636.028571 275148.400000
36 270235.542857 6316.200000 181808.771429
36 305354.428571 6788.257143 106527.628571
36 277522.657143 6677.485714 238707.771429
36 203344.942857 7227.800000 255606.742857
36 285018.600000 6690.114286 188703.371429
36 205718.000000 6321.428571 162780.400000
36 312615.085714 4732.085714 86185.228571
36 207144.885714 6510.142857 197251.657143
48 371641.234043 6886.893617 125654.276596
48 458968.382979 6596.021277 95306.531915
48 344744.000000 6693.744681 104341.978723
48 334463.638298 6849.063830 82056.340426
48 349274.872340 6935.936170 75454.723404
48 329324.085106 6478.191489 93734.595745
48 351719.468085 6183.404255 61955.404255
48 268107.361702 6478.531915 93421.914894
48 269924.148936 6879.106383 104011.765957
48 421002.978723 6694.617021 98262.659574
64 392431.968254 6251.619048 160356.920635
64 407651.746032 6403.317460 134775.936508
64 396890.317460 6111.650794 82706.285714
64 244034.000000 6157.031746 138015.111111
64 335673.841270 6187.523810 139298.000000
64 342628.365079 6101.222222 111018.158730
64 908530.365079 6219.126984 146893.920635
64 476229.888889 6188.825397 131739.142857
64 368546.333333 6288.460317 80012.698413
64 335822.555556 6189.222222 137372.682540
72 342110.943662 6526.549296 1281785.112676
72 529278.690141 6403.633803 832553.704225
72 1264431.915493 6460.436620 1083917.042254
72 305557.661972 6193.535211 640828.436620
72 514742.971831 28773.676056 1723060.816901
72 1681441.718310 895491.971831 545132.126761
72 171115.126761 201556.957746 1118588.507042
72 1582164.267606 6450.676056 3002715.985915
72 350321.070423 7607.985915 1256094.873239
72 210835.676056 6300.464789 551934.338028
